id,A2,A3,A7,A8,A15,A16,A18,A58,A61,A62,A69
5,2,51,6,300000,5,5,1,1,2,300000,3
13,2,34,11,80000,4,5,2,1,2,180000,3
15,1,26,10,30000,4,5,4,1,2,80000,3
19,2,61,6,36000,4,5,3,5,2,36000,6
24,2,61,6,40000,1,3,4,5,2,100000,7
34,2,30,12,150000,4,5,4,1,2,300000,3
35,1,58,6,50000,4,4,3,1,2,100000,3
39,1,54,13,120000,5,3,2,1,2,180000,3
51,1,56,4,30000,4,5,1,1,4,40000,3
55,1,52,6,90000,5,5,2,5,4,130000,3
61,2,41,7,50000,4,5,1,2,4,50000,3
63,1,47,9,1000000,4,4,3,1,2,1200000,3
69,2,56,6,48000,3,5,4,5,2,50000,3
76,1,48,6,100000,5,5,1,1,2,200000,3
80,1,53,12,0,4,5,2,5,4,0,3
88,2,39,10,120000,5,5,2,1,2,900000,3
89,1,35,12,200000,4,4,2,1,2,450000,3
90,2,50,3,18000,2,3,4,6,4,18000,3
108,1,73,7,96000,3,5,4,5,2,192000,3
115,1,35,13,200000,5,4,2,1,2,300000,3
116,2,62,3,20000,4,5,2,1,4,20000,7
126,2,35,6,96000,5,4,1,1,2,155000,3
131,1,55,11,130000,5,4,2,1,2,350000,3
146,2,79,3,1500,4,5,2,5,4,1500,7
171,2,67,6,50000,2,2,2,5,2,100000,3
172,1,29,13,200000,4,5,2,1,2,200000,1
175,2,53,6,60000,4,5,2,1,2,120000,3
176,2,34,4,10000,1,3,1,5,4,20000,6
181,2,44,6,40000,4,5,4,1,2,100000,3
188,2,42,3,35000,5,5,1,1,4,800000,3
192,1,47,13,150000,1,1,4,1,4,250000,3
197,2,34,12,0,3,4,4,5,2,120000,3
204,2,54,3,20000,4,5,2,5,4,100000,3
205,1,40,10,100000,4,5,4,1,2,100000,3
226,1,42,10,200000,4,3,2,1,2,300000,3
227,1,30,12,300000,4,5,3,1,2,500000,3
231,2,56,7,30000,4,4,4,5,2,100000,3
232,1,65,6,50000,3,4,4,1,2,70000,3
241,2,57,6,30000,5,4,4,5,2,30000,3
253,1,40,6,100000,5,5,1,1,2,100000,3
257,1,53,13,100000,5,5,2,1,2,200000,3
264,1,36,13,200000,5,4,4,1,2,220000,3
273,2,32,12,100000,5,4,2,1,2,250000,3
280,1,28,13,150000,4,4,2,1,2,700000,1
282,1,45,6,200000,4,5,2,1,2,240000,3
288,1,36,12,200000,2,4,4,1,2,300000,3
297,2,55,6,36000,2,3,2,5,2,100000,3
303,1,38,4,20000,5,5,1,1,4,27000,3
305,2,29,12,90000,3,3,1,1,2,240000,2
307,2,37,13,200000,3,3,4,1,2,500000,3
315,1,63,10,65000,4,5,3,1,4,100000,3
318,1,52,4,60000,3,5,1,5,2,500000,3
329,2,55,11,60000,4,5,4,5,2,200000,3
334,2,60,6,48000,3,5,2,5,2,120000,3
346,1,27,6,60000,4,5,1,1,2,100000,3
352,1,28,13,150000,3,5,2,1,2,350000,1
355,2,26,10,50000,4,5,1,1,2,200000,1
358,2,58,13,300000,5,5,2,1,2,400000,3
365,2,68,7,60000,2,2,3,4,4,100000,3
369,1,58,9,100000,4,5,4,1,2,150000,3
379,1,37,4,80000,4,5,1,1,3,80000,1
380,2,50,11,150000,4,3,2,1,2,400000,3
382,1,40,13,200000,4,5,2,1,2,350000,3
387,1,56,6,48000,4,2,2,5,2,84000,3
394,1,26,12,45000,4,3,1,1,4,250000,1
398,2,30,12,0,4,5,3,1,2,150000,3
399,2,32,12,100000,3,4,4,1,2,100000,1
406,2,51,10,50000,3,5,1,1,2,140000,3
409,1,44,9,60000,4,5,4,1,2,80000,3
417,1,29,6,70000,5,5,1,1,4,100000,1
420,1,37,12,100000,5,5,5,1,4,200000,3
422,1,19,6,0,3,4,4,6,2,500000,1
440,1,68,4,37000,3,5,4,5,2,65000,3
442,1,55,6,50000,3,5,2,1,2,100000,3
443,2,56,7,33600,4,5,4,5,2,72000,3
456,1,27,7,80000,5,5,1,1,2,100000,3
457,2,56,10,60000,2,5,4,5,2,110000,3
466,2,65,9,70000,5,5,4,5,2,130000,3
474,2,57,10,60000,4,5,2,1,2,150000,3
485,1,41,12,300000,5,5,2,1,2,500000,3
489,1,60,6,40000,3,5,2,1,2,60000,3
492,1,76,9,5000,4,5,3,5,4,10000,3
495,1,31,13,600000,5,5,4,1,2,700000,3
497,2,36,4,0,4,5,1,1,2,30000,3
505,1,29,13,350000,4,5,2,1,2,550000,3
507,2,57,12,70000,4,5,4,5,3,70000,3
509,2,63,12,60000,3,3,2,5,2,300000,3
514,2,49,9,70000,3,3,4,1,2,140000,3
515,1,44,12,120000,3,4,4,1,3,400000,3
517,1,38,12,200000,4,5,4,1,2,200000,3
518,2,45,6,20000,4,5,1,1,2,50000,3
523,2,53,4,40000,3,5,1,5,2,900000,4
533,1,40,10,80000,3,5,2,1,2,80000,3
535,1,30,5,80000,5,5,1,1,4,110000,3
537,1,28,13,100000,4,5,2,1,2,100000,1
538,2,62,10,70000,2,3,2,5,2,150000,3
548,1,40,10,500000,4,4,2,1,2,1000000,3
558,2,32,11,120000,4,5,4,1,2,1000000,3
561,2,37,11,150000,5,5,4,1,2,150000,3
