id,A2,A3,A7,A8,A15,A16,A18,A58,A61_1,A61_3,A61,A62,A69
1,2,36,11,60000,4,4,1,5,1,1,2,200000,3
2,2,64,6,50000,4,4,3,5,1,2,1,200000,3
3,2,60,6,36000,3,1,4,5,1,2,1,120000,3
5,2,53,12,130000,3,3,4,1,1,2,1,288000,3
9,2,80,4,60000,4,5,4,5,1,2,1,240000,7
11,2,62,6,48000,1,2,4,5,1,2,1,120000,3
14,2,71,1,30000,4,5,1,4,1,2,1,30000,3
15,2,45,7,130000,5,5,1,1,1,1,2,200000,3
16,1,46,3,60000,4,5,3,1,1,2,1,100000,3
17,1,52,9,100000,5,5,2,1,1,2,1,140000,3
18,2,63,6,0,4,5,1,4,1,2,1,60000,3
19,2,24,12,80000,4,5,3,1,1,2,1,80000,1
20,2,39,6,30000,5,5,1,2,1,1,2,200000,4
21,2,42,9,20000,3,4,1,1,1,2,1,30000,3
22,2,57,4,12000,2,2,2,5,1,1,2,200000,3
23,2,75,1,0,3,2,1,4,1,2,1,0,3
24,2,33,9,0,3,5,1,5,1,2,1,60000,3
25,2,46,7,0,3,5,2,5,1,1,2,200000,3
27,1,44,4,60000,2,4,2,5,1,1,2,60000,3
28,1,58,3,20000,3,5,2,1,1,2,1,62000,3
29,1,65,11,80000,4,4,3,5,1,2,1,120000,3
30,1,81,3,48000,4,4,2,5,1,2,1,48000,7
31,1,48,6,30000,3,5,2,5,1,2,1,50000,3
33,1,49,5,40000,3,4,1,2,1,1,2,60000,3
34,2,68,3,11051,4,5,1,2,1,2,1,11051,3
35,2,67,3,2700,2,1,3,4,1,2,1,90000,7
36,1,66,6,30000,5,5,1,1,1,2,1,60000,3
39,2,52,4,10000,1,1,3,3,1,2,1,40000,2
41,1,51,4,30000,4,5,1,1,1,1,2,50000,3
42,2,59,4,20000,3,4,1,1,2,2,4,20000,3
43,2,53,3,20000,5,5,2,5,1,2,1,90000,3
45,1,31,7,50000,5,5,1,1,1,2,1,100000,3
46,2,68,6,40000,3,4,1,5,1,2,1,90000,3
47,2,34,6,20000,4,4,2,1,1,2,1,20000,3
49,2,65,3,14000,4,5,1,4,1,2,1,30000,3
50,1,76,1,43200,3,5,3,1,1,2,1,57200,3
51,2,80,7,90000,5,4,2,5,1,2,1,100000,3
53,2,19,6,0,3,4,1,6,1,2,1,200000,1
54,2,31,4,0,4,5,4,5,1,2,1,100000,3
56,1,52,4,30000,5,5,1,5,1,2,1,40000,3
59,1,35,6,80000,4,5,4,1,1,2,1,80000,3
60,1,72,3,17000,1,1,1,3,1,2,1,17000,3
63,1,55,3,45000,3,4,1,1,1,1,2,80000,3
64,1,67,3,25000,4,3,1,1,1,2,1,35000,3
65,1,73,3,1764,2,2,1,5,1,2,1,4000,3
66,1,82,3,10000,5,4,1,4,2,2,4,10000,7
67,2,63,1,7000,1,1,3,4,1,2,1,10000,7
68,2,56,3,0,4,2,1,5,1,2,1,37800,3
69,1,61,4,0,5,5,1,5,1,2,1,0,3
70,2,72,3,0,4,2,1,4,1,2,1,0,7
73,2,37,3,20000,3,5,1,1,1,2,1,90000,4
74,1,53,4,20000,3,5,4,1,1,2,1,20000,3
76,1,31,10,150000,5,5,1,1,1,1,2,200000,1
77,2,67,1,1200,1,2,1,4,1,2,1,20000,3
78,2,30,4,120000,3,5,1,1,1,2,1,120000,6
79,2,45,3,20000,3,5,1,1,1,2,1,75000,3
80,2,49,4,0,3,3,3,4,1,1,2,100000,3
81,2,56,1,5000,2,2,1,6,1,2,1,10000,3
82,2,59,6,25000,3,1,1,5,1,2,1,60000,3
83,2,67,6,38400,4,4,4,5,1,2,1,120000,3
86,1,66,6,20000,3,5,1,4,1,2,1,120000,3
87,2,31,7,100000,4,5,1,1,1,1,2,180000,3
88,2,73,3,1680,1,2,1,4,1,2,1,1680,7
89,2,50,4,50000,5,5,1,2,1,2,1,100000,3
92,2,48,11,75000,3,3,3,1,1,2,1,80000,6
93,2,67,10,60000,4,5,2,5,1,1,2,60000,3
94,2,70,4,8000,2,3,1,4,1,2,1,16000,3
95,2,56,3,0,3,3,1,5,2,2,4,55000,3
98,1,42,10,300000,4,5,2,1,1,1,2,350000,3
99,2,72,3,2000,2,1,1,4,1,2,1,2000,3
100,2,49,3,68000,4,2,1,1,1,2,1,70000,3
101,1,67,7,48000,3,3,3,1,1,2,1,200000,4
102,1,65,4,35000,4,5,3,5,1,2,1,55000,3
103,2,79,3,36000,4,5,2,5,1,2,1,36000,7
104,2,68,3,80000,4,5,4,5,1,2,1,78000,3
105,1,51,10,60000,5,4,4,5,1,2,1,120000,3
106,2,68,1,600,2,4,1,4,1,2,1,21000,3
107,1,66,6,10000,3,4,3,1,1,2,1,10000,3
108,1,18,6,0,5,5,1,6,1,2,1,100000,1
109,1,48,11,8000000,4,4,2,1,1,1,2,8000000,3
110,2,38,12,30000,4,5,4,1,1,2,1,80000,3
111,1,64,1,0,1,1,1,4,1,2,1,0,3
112,1,46,3,30000,5,4,1,1,1,2,1,30000,1
113,2,62,4,60000,4,5,3,5,1,1,2,90000,3
114,2,45,4,30000,5,5,1,1,1,2,1,150000,3
115,2,28,3,20000,3,4,1,1,1,2,1,100000,3
116,2,68,1,10000,4,4,1,1,1,2,1,10000,3
117,2,70,1,3000,4,3,1,5,1,2,1,120000,3
118,2,58,4,60000,4,4,1,3,1,2,1,90000,3
119,1,83,5,60000,4,4,2,5,2,2,4,60000,7
120,2,73,1,1500,5,5,1,3,1,2,1,4540,3
122,1,30,10,180000,5,5,4,1,1,2,1,350000,3
123,2,69,1,0,2,3,1,4,1,2,1,3000,3
124,1,35,4,73000,4,5,1,1,1,1,2,110000,3
125,1,69,7,50000,4,5,2,5,1,2,1,84000,3
126,1,65,4,40000,2,5,1,5,2,2,4,50000,3
127,2,59,3,20000,2,2,1,1,1,2,1,20000,3
128,2,34,4,10000,4,4,1,1,1,2,1,70000,3
129,2,53,6,60000,4,5,2,1,1,1,2,100000,3
131,1,25,10,40000,4,5,2,1,1,2,1,100000,3
132,1,82,3,4300,3,1,2,5,1,2,1,5000,3
133,2,55,4,0,3,5,1,5,1,2,1,10000,3
134,1,32,4,80000,3,5,1,1,1,2,1,120000,3
135,2,31,4,40000,5,5,1,1,1,2,1,100000,3
137,2,53,4,0,4,4,1,5,1,1,2,80000,3
138,1,56,4,20000,2,1,1,1,1,2,1,80000,3
140,2,49,1,24000,3,4,3,1,1,2,1,24000,2
141,2,25,11,60000,4,4,1,5,1,2,1,100000,1
142,2,50,4,50000,5,5,1,3,1,2,1,60000,3
145,2,49,3,20000,3,4,3,1,1,1,2,50000,3
146,1,76,4,7200,2,2,1,5,2,2,4,8000,3
147,2,58,4,20000,1,1,1,5,1,2,1,36000,3
148,1,51,12,500000,5,4,4,5,1,2,1,600000,3
149,2,20,10,9991618,4,3,1,6,1,2,1,100000,1
151,2,36,4,30000,3,4,1,1,1,2,1,30000,3
152,2,71,1,4800,4,4,1,4,1,2,1,10360,3
154,2,56,1,0,4,5,1,4,1,2,1,50000,3
155,1,44,7,90000,3,4,4,1,1,2,1,130000,3
156,2,49,3,30000,4,4,1,1,1,2,1,50000,2
157,2,37,12,400000,3,5,4,1,1,1,2,450000,3
158,1,49,4,20000,2,3,4,1,1,1,2,20000,3
159,1,68,1,1800,1,1,1,4,1,2,1,3600,3
160,2,46,6,35000,4,5,1,1,1,2,1,100000,3
161,1,35,4,80000,5,5,1,1,1,2,1,145000,3
164,2,61,1,20000,1,1,1,3,1,2,1,10000,3
165,2,43,4,36000,4,4,1,1,1,2,1,75000,3
166,2,66,3,4000,3,5,1,2,1,2,1,8000,3
167,2,47,4,3000,4,5,1,3,1,2,1,30000,3
168,2,77,3,1500,1,1,1,4,1,2,1,6000,4
169,1,24,4,48000,5,5,3,1,1,2,1,156000,1
171,2,70,3,2500,1,1,1,5,1,2,1,8000,3
173,2,50,3,80000,4,2,1,3,1,2,1,30000,2
174,2,75,12,88800,3,3,2,5,1,2,1,200000,3
175,1,68,4,95000,3,5,1,2,1,2,1,230000,3
176,2,52,4,30000,4,5,1,1,1,2,1,100000,3
177,2,34,4,0,5,5,1,2,1,1,2,40000,3
179,2,63,4,7200,2,5,1,4,1,2,1,100000,7
181,2,71,3,5000,3,4,1,1,1,2,1,80000,3
183,1,63,4,38400,4,5,2,5,1,2,1,60000,3
185,2,65,4,3000,3,5,1,3,1,1,2,50000,3
186,2,41,4,15000,4,5,4,2,1,1,2,20000,3
187,2,49,3,4500,2,3,1,3,1,1,2,8000,4
189,1,54,4,30000,4,4,4,1,1,2,1,30000,3
191,2,72,1,2400,1,1,1,4,1,2,1,4000,3
192,1,43,3,100000,5,5,1,2,1,2,1,100000,3
193,1,19,6,0,4,5,1,6,1,2,1,30000,1
194,1,53,3,80000,5,3,1,5,1,2,1,100000,3
195,1,62,3,23000,5,5,1,3,1,2,1,30000,3
196,1,67,4,16000,5,5,1,2,1,2,1,18000,3
197,1,35,4,40000,5,5,1,1,1,1,2,50000,3
198,2,23,12,0,3,4,2,5,1,2,1,500000,1
199,1,80,4,60000,4,5,2,5,1,2,1,200000,3
201,2,53,1,3000,2,2,1,5,1,2,1,20000,3
203,1,78,3,0,4,5,1,5,1,2,1,0,3
204,1,35,4,70000,5,5,1,1,1,2,1,70000,6
205,1,49,4,4000,4,5,1,1,1,2,1,40000,3
206,2,32,10,80000,4,5,1,1,1,2,1,300000,3
207,2,68,1,8000,5,5,1,2,1,2,1,10000,3
210,1,56,6,120000,5,5,3,1,1,2,1,1000000,3
211,2,62,4,10000,3,2,1,1,1,2,1,10000,5
212,1,81,2,4000,2,3,1,4,1,2,1,4000,1
213,1,62,3,0,4,5,1,5,1,2,1,0,3
215,2,45,4,80000,4,1,1,1,1,2,1,160000,3
217,1,63,6,30000,4,5,1,1,1,2,1,35000,7
218,1,19,6,0,5,5,1,6,1,2,1,110000,1
219,2,65,4,2000,4,5,2,1,1,2,1,30000,3
220,1,36,9,80000,3,4,1,1,1,2,1,150000,6
222,1,41,4,85000,4,3,1,1,1,2,1,80000,3
223,2,39,3,0,5,5,1,2,1,2,1,10000,3
